Location,FloorAreaSqm,LotSizeSqm,Bedrooms,Bathrooms,ParkingSpaces,YearBuilt,PropertyAge,Condition,PropertyType,NeighborhoodRating,DistanceToCBDKm,Price
Metro Manila,247.0,622.0,4,4.0,4,1983,43,New,House & Lot,7,0.1,128896786.23783731
Cagayan de Oro,131.0,537.0,3,5.0,0,1951,75,Good,Condo,6,17.1193104506605,33038680.49427198
Bacolod,118.0,743.0,6,4.0,3,2001,25,Good,Condo,4,14.077137248891304,42852227.35353382
Baguio,158.0,768.0,5,3.0,2,1984,42,Needs Repair,House & Lot,4,10.103527321179048,59986501.27078785
Baguio,276.0,563.0,0,3.0,3,2008,18,Good,House & Lot,9,8.99656916756126,75112616.06922115
Cagayan de Oro,124.0,296.0,2,2.0,2,1996,30,New,House & Lot,8,16.283786602096846,31964972.929673463
Metro Manila,413.0,479.0,2,2.0,0,2009,17,Good,House & Lot,7,15.267951168560833,125841471.49748227
Bacolod,226.0,340.0,4,4.0,3,1984,42,Needs Repair,Condo,9,14.948268179936726,31694433.683804058
Cebu,391.0,503.0,1,1.0,3,1950,76,Good,Condo,3,10.740079158693558,76925251.36649305
Metro Manila,313.0,649.0,6,1.0,2,1959,67,New,Condo,8,5.904630202915024,126848143.28214775
Iloilo,163.0,295.0,2,2.0,1,1984,42,New,House & Lot,9,12.602748992105344,40329783.61448759
General Santos,118.0,404.0,3,4.0,1,1980,46,Good,House & Lot,4,12.896251431530686,28798604.823278803
Bacolod,339.0,36.0,0,4.0,2,2010,16,Needs Repair,Condo,7,6.856175182448242,29268572.68389548
Cagayan de Oro,162.0,589.0,6,3.0,1,1981,45,Good,House & Lot,9,5.892506486994551,44455023.81222101
Bacolod,126.0,391.0,6,3.0,1,2015,11,Good,Condo,7,14.799879617349259,30985303.13463572
Cagayan de Oro,420.0,367.0,5,1.0,1,1964,62,Good,Condo,4,17.98469665261764,50707265.40512805
Iloilo,227.0,425.0,2,2.0,0,1979,47,Good,Condo,8,3.503625314511403,41145619.72428055
Cebu,40.0,172.0,0,1.0,4,2007,19,Good,House & Lot,9,6.419739947312154,23035894.72625768
Cagayan de Oro,232.0,478.0,4,4.0,1,1959,67,Good,Townhouse,3,10.105598458728188,36810103.00231859
Baguio,218.0,596.0,3,4.0,0,1974,52,Good,House & Lot,7,10.919593986491662,68870504.11734709
Iloilo,391.0,279.0,6,2.0,0,2007,19,Good,Townhouse,7,4.865801844552235,51187770.06927913
Davao,325.0,104.0,4,2.0,4,1994,32,Good,House & Lot,5,19.301123782064263,53680794.52002373
Cebu,102.0,309.0,3,2.0,2,2009,17,Good,House & Lot,3,10.532571593271026,38740629.75715433
General Santos,84.0,158.0,6,5.0,1,1989,37,Needs Repair,House & Lot,3,11.188300450823316,16446538.868361373
Cagayan de Oro,279.0,299.0,5,3.0,2,2015,11,Good,Condo,9,18.553304489070523,39255062.102715105
Bacolod,40.0,501.0,3,4.0,0,2016,10,Good,House & Lot,9,5.305630248532459,30146744.495590497
Baguio,157.0,90.0,0,3.0,1,2024,2,Good,House & Lot,6,7.469408741346332,32789825.030598328
,79.0,597.0,0,4.0,1,1959,67,Good,House & Lot,10,0.4800666258702275,34630478.02453612
Iloilo,28.0,179.0,3,3.0,4,1994,32,Good,Condo,10,6.9658971664785305,17099633.54080921
Baguio,415.0,715.0,3,2.0,0,1958,68,Good,House & Lot,8,0.1,101065154.35950255
Baguio,58.0,585.0,0,5.0,2,1967,59,Good,Townhouse,7,12.487096125159031,38739387.3600535
Cebu,23.0,218.0,0,4.0,3,1972,54,Good,Condo,10,10.519980500419953,21089309.841236338
